Year,Year_Thai,"	Prov",MSW_GenRate(ton/d),MSW_GenRate(kg/c/d),MSW_Reclycled,MSW_ProperDisposed,MSW_ImproperDisposed,Gen_Waste,Food_Waste,Recycl_Waste,Hazard_Waste,Pop,Pop_Total,Area_km2,Pop_Density,Age_0_5,Age_6_17,Age_18_24,Age_25_44,Age_45_64,Age_65plus,Male,Female,Employed,Unemployed,No_Households,HH_Income_Avg,GPP_per_Capita,GPP_Agriculture(%),GPP_Industrial(%),GPP_Services(%),LAO_Special,City_Muni,Town_Muni,Subdist_Muni,SAO,District_BKK,Visitors(ppl),Excursionists(ppl),Cluster,Cluster_Label
2021,2564,Phetchaburi,246,0.51,103,186,198,29,28,42,1,482875,522475,6225,77.6,5.05,13.59,8.23,28.66,29.86,14.62,48.17,51.85,97.84954238,2.150457623,154,26921.92,145022,13.04,27.56,59.4,0,0,2,13,69,0,1619280,1813334,4,Tourism
2021,2564,Phetchabun,410,0.42,209,113,315,0,0,0,0,978372,1009170,12668,77.2,5.06,13.57,8.67,28.31,30.07,13.81,48.97,50.52,98.64196405,1.358035951,307,26150.56,88980,33.26,15.71,51.03,0,0,3,22,102,0,775505,106378,1,Agricultural
2021,2564,Phrae,441,1.01,121,,305,0,0,0,0,434580,444496,6539,66.5,3.77,10.5,7.11,27.1,33.05,17.56,47.67,51.43,98.90281053,1.097189474,155,20366.72,83156,18.84,13.89,67.27,0,0,1,25,57,0,208931,177377,3,Mixed Economies
2021,2564,Phuket,235,0.56,58,612,52,0,0,0,0,418785,549844,543,771.2,6.83,17.48,8.78,32.21,25.93,8.56,47.06,52.72,88.67735878,11.32264122,167,33328.16,168523,7,5.83,87.16,0,1,2,9,6,0,1098856,137624,3,Mixed Economies
2021,2564,Maha Sarakham,1086,1.15,310,,300,0,0,0,0,948310,978596,5292,179.2,4.78,12.7,9.35,28.26,31.23,13.29,48.81,50.8,98.09824179,1.901758207,262,26542.15,86134,20.47,17.27,62.26,0,0,1,18,123,0,126989,68039,3,Mixed Economies
2021,2564,Mukdahan,697,1.98,162,,84,17.9,41.7,40.4,0,351484,360506,4340,81,5.8,14.63,8.76,30.33,29.51,11,49.94,50.09,99.10483219,0.895167812,112,20607.88,67548,25.86,13.98,60.17,0,0,1,24,29,0,184875,372296,3,Mixed Economies
2021,2564,Mae Hong Son,938,3.28,69,25,112,0,0,0,0,285916,291682,12681,22.5,7.93,19.14,10.17,30.17,23.02,9.88,50.78,49.52,99.41144802,0.58855198,65,15495.95,65575,31.68,7.04,61.28,0,0,1,6,42,0,414900,16897,1,Agricultural
2021,2564,Yasothon,872,1.63,208,73,160,19.4,42.09,38.52,0,533394,539461,4162,128.2,4.81,13.15,8.51,28.89,31.4,12.91,49.64,50.03,99.36689547,0.633104527,161,19666.59,70645,24.54,13.56,61.9,0,0,1,23,63,0,85523,102573,3,Mixed Economies
2021,2564,Yala,563,1.04,180,162,68,0,0,0,0,542314,555482,4521,120,9.62,20.5,11.27,29.5,20.74,9.03,50.06,50.6,98.49536578,1.504634221,123,19181.87,107031,33.9,10.14,55.96,0,1,2,13,47,0,193958,41926,1,Agricultural
2021,2564,Roi Et,280,0.22,467,135,336,22.38,43.4,32.5,1.72,1296013,1308046,8299,156.2,4.8,12.82,8.4,29.2,31.11,13.28,49.31,50.32,99.3821388,0.617861204,338,17713.5,79908,19.26,13.43,67.31,0,0,1,72,129,0,175245,137214,3,Mixed Economies
